Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
T12,12,692.4850960396054,0.5064219767666949,4004,2027.713594973846
T12,12,694.5782515862376,0.5072290242950568,3994,2025.8727230344568
T12,12,696.5935363863,0.507459077073069,3983,2021.2095039820338
T12,12,698.5955867729284,0.5077375056860894,3981,2021.3030101363222
T12,12,700.6030007053242,0.5091811365410467,3978,2025.5225611602839
T12,12,702.6148892336173,0.5077366515361202,3966,2013.6835599922529
T12,12,704.6368694565267,0.5058709732378117,3954,2000.2138281823077
T12,12,706.6424953974614,0.5067441500881218,3942,1997.5854396473762
T12,12,708.6530518412477,0.5056022392756444,3936,1990.0504137889366
T12,12,710.6563456013689,0.5053668260934456,3936,1989.1238275038022
T12,12,712.6691678034638,0.5040502295327749,3934,1982.9336029819365
T12,12,714.6833490599186,0.5055782984988045,3937,1990.4617611897934
T12,12,716.6930151358058,0.5054046142043541,3938,1990.2833707367465
T12,12,718.7544474404743,0.5058792140184772,3936,1991.1405863767263
T13,13,720.7571353330679,0.5068579174125467,3935,1994.485905018371
T13,13,722.7631040962297,0.5046574385086395,3920,1978.257158953867
T13,13,724.7857248351339,0.5050939786139326,3909,1974.4123624018625
T13,13,726.7989913965192,0.5043221262114393,3898,1965.8476479721905
T13,13,728.8008052997819,0.5033222388988613,3880,1952.8902869275817
T13,13,730.8106213765919,0.5026881462770306,3873,1946.9111905309396
T13,13,732.8609722753268,0.5026746197616908,3862,1941.3293815196498
T13,13,734.8643617335001,0.5021788684234536,3852,1934.3930011671432
T13,13,736.8663888456182,0.5027130418879507,3843,1931.9262199753948
T13,13,738.8845032386622,0.5017606617669833,3836,1924.753898538148
T13,13,740.902165235766,0.502146308656151,3825,1920.7096306097776
T13,13,742.948776951431,0.5017755666458376,3826,1919.7933179869744
T13,13,744.9872184825377,0.5039871267200108,3817,1923.7188626902812
T13,13,747.0450297952598,0.5054632747727974,3806,1923.7932237852667
T13,13,749.0693392786103,0.5043087836856293,3804,1918.3906131401336
T13,13,751.1199496737362,0.5018067418629498,3799,1906.3638123373462
T13,13,753.1255133970097,0.5012417456018465,3786,1897.7012488485911
T13,13,755.1347657453098,0.5015376641469222,3776,1893.8062198187786
T13,13,757.1701839619224,0.5004488462791407,3756,1879.6858666244523
T13,13,759.1762419422711,0.5014864933750783,3750,1880.5743501565437
T13,13,761.180518069082,0.5035745830247401,3740,1883.3689405125278
T13,13,763.2316989711222,0.5012071096395864,3735,1872.008554503855
T13,13,765.2517444957573,0.5015381777223135,3732,1871.740479259674
T13,13,767.3017713929789,0.5002840585135768,3732,1867.0601063726685
T13,13,769.31105613888,0.4976177607966086,3718,1850.1428346417906
T13,13,771.3231675943587,0.4992540897409893,3714,1854.2296892980341
T13,13,773.3692886651759,0.49717637521233754,3707,1843.0328229121353
T13,13,775.3737668024302,0.49900086290723483,3691,1841.8121849906038
T13,13,777.3900462632772,0.4987003011323292,3691,1840.702811479427
T13,13,779.4149106071327,0.49987981614886107,3685,1842.057122508553
T14,14,781.4397353656507,0.4999303730699624,3675,1837.244121032112
T14,14,783.469722440525,0.49998800109197455,3667,1833.4560000042707
