Run,Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
2,T10,10,559.1010601867667,0.5363843504030794,3540,1898.8006004269012
2,T10,10,561.1545952752152,0.535425201163194,3565,1908.7908421467869
2,T10,10,563.1597636014521,0.5337399579421975,3577,1909.1878295592408
2,T10,10,565.1638460573632,0.5342057217765929,3599,1922.6063926739575
2,T10,10,567.1886068235176,0.5325012048879845,3613,1923.926853260288
2,T10,10,569.1929015400182,0.532113240852618,3636,1934.7637437401193
2,T10,10,571.2134238316384,0.5310474324449298,3652,1939.3852232888837
2,T10,10,573.2164764406087,0.528586002959142,3667,1938.3248728511737
2,T10,10,575.2419251109168,0.5270709772378683,3689,1944.3648350304961
2,T10,10,577.2482182998175,0.5264733271071669,3707,1951.6366235862677
2,T10,10,579.2491197405997,0.5273113175344922,3722,1962.65272386338
2,T10,10,581.2871271168669,0.5282840140701388,3739,1975.253928608249
2,T10,10,583.2975701308065,0.5296356826565526,3746,1984.015267231446
2,T10,10,585.3001167575773,0.5300360041189756,3763,1994.5254834997052
2,T10,10,587.319748086673,0.5295938231651642,3780,2001.8646515643206
2,T10,10,589.3372309505626,0.5287309931586234,3788,2002.8330020848655
2,T10,10,591.3513862465231,0.5273503804643279,3809,2008.677599188625
2,T10,10,593.3519258513254,0.5259978016305377,3826,2012.467589038437
2,T10,10,595.3657853896443,0.5262213550813422,3838,2019.6375608021913
2,T10,10,597.3794896000805,0.5261934646482044,3851,2026.3710323602352
2,T10,10,599.4047322312516,0.5262134285014525,3881,2042.234316014137
2,T11,11,601.4164642278532,0.5242787504798346,3877,2032.6287156103187
2,T11,11,603.417203658433,0.5216973331895326,3881,2024.7073501085758
2,T11,11,605.4270951264108,0.5207380355306054,3886,2023.5880060719326
2,T11,11,607.4334092499357,0.5192762913872123,3891,2020.504049787643
2,T11,11,609.4640591676308,0.5184039362883501,3904,2023.8489672697187
2,T11,11,611.5062429724348,0.5202329062048884,3922,2040.3534581355723
2,T11,11,613.5065469192745,0.519224550484855,3931,2041.0717079559654
2,T11,11,615.5281524299801,0.5182039982796047,3924,2033.4324892491688
